1,1400000,334032966448
1,1500000,320188401306
1,1600000,360144876843
1,1800000,543016363096
1,1900000,517512840194
1,2000000,477018910198
1,2100000,445219945129
1,2300000,532270148953
1,2400000,524468707482
1,2500000,519027669719
1,2700000,600954181510
1,2800000,641626216372
1,2900000,600651825087
1,3000000,677415829718
2,1200000,1.31522985899e+12
2,1400000,1.31049887663e+12
2,1500000,1.59932524383e+12
2,1600000,1.67619185231e+12
2,1800000,1.81857444535e+12
2,1900000,2.3068099012e+12
2,2000000,1.87267125808e+12
2,2100000,2.49311058679e+12
2,2300000,3.00813341452e+12
2,2400000,2.47815175063e+12
2,2500000,2.48664445144e+12
2,2700000,2.56915082996e+12
2,2800000,2.67104031939e+12
2,2900000,3.00832038175e+12
2,3000000,3.31520973655e+12
2,3001000,3.344091501e+12
4,1200000,3.45200085812e+12
4,1400000,4.49010201918e+12
4,1500000,4.87153330932e+12
4,1600000,5.57793447268e+12
4,1800000,5.65967776585e+12
4,1900000,5.64340581431e+12
4,2000000,6.6494479075e+12
4,2100000,6.37236972606e+12
4,2300000,7.56840916338e+12
4,2400000,7.23762569945e+12
4,2500000,7.61972529483e+12
4,2700000,7.94468918599e+12
4,2800000,8.47617503231e+12
4,2900000,8.38817584877e+12
4,3000000,7.88811885566e+12
4,3001000,8.79818128404e+12
8,1200000,1.11153716626e+13
8,1400000,1.39079965919e+13
8,1500000,1.36339924728e+13
8,1600000,1.56075053155e+13
8,1800000,1.53857157754e+13
8,1900000,1.63776722726e+13
8,2000000,1.78474173574e+13
8,2100000,1.79015485669e+13
8,2300000,2.12239060853e+13
8,2400000,1.80604148947e+13
8,2500000,1.99113848215e+13
8,2700000,2.24618406799e+13
8,2800000,2.25388394279e+13
8,2900000,2.30477691139e+13
8,3000000,2.43337073433e+13
8,3001000,2.45512132573e+13
16,1200000,4.20352204064e+13
16,1400000,4.66590572114e+13
16,1500000,4.90892163455e+13
16,1600000,5.14595670007e+13
16,1800000,5.5670027076e+13
16,1900000,6.02307597333e+13
16,2000000,5.86726365728e+13
16,2100000,6.29512123316e+13
16,2300000,6.62838418865e+13
16,2400000,7.33744968033e+13
16,2500000,6.70480434507e+13
16,2700000,7.92590684382e+13
16,2800000,7.55083663626e+13
16,2900000,7.6862422253e+13
16,3000000,7.55986720564e+13
16,3001000,7.69920797129e+13
32,1400000,1.74281329733e+14
32,1500000,1.78776008773e+14
32,1600000,1.89039708822e+14
32,1800000,2.13245755117e+14
32,1900000,2.17827277342e+14
32,2000000,2.25058495252e+14
32,2100000,2.25061882041e+14
32,2300000,2.38726989019e+14
32,2400000,2.48552559715e+14
32,2500000,2.5581617128e+14
32,2700000,2.94821677699e+14
32,2800000,2.73719385634e+14
32,2900000,2.73935121132e+14
32,3000000,3.26069037783e+14
32,3001000,2.99650804416e+14
64,1200000,6.5851559349e+14
64,1400000,6.75040018268e+14
64,1500000,7.56967336463e+14
64,1600000,7.70063471714e+14
64,1800000,8.91674631246e+14
64,1900000,9.14266006037e+14
64,2000000,9.61117921091e+14
64,2100000,1.0830311159e+15
64,2300000,1.21838863898e+15
64,2400000,1.31285245323e+15
64,2500000,1.32675663421e+15
64,2700000,1.43604680311e+15
64,2800000,1.31935943543e+15
64,2900000,1.46345444446e+15
64,3000000,1.42167511968e+15
64,3001000,1.37558782348e+15
128,1400000,2.77933373432e+15
128,1500000,2.83654564468e+15
128,1600000,3.15526243039e+15
128,1800000,3.45118236243e+15
128,1900000,3.71500124778e+15
128,2000000,3.89644787911e+15
128,2100000,4.11531577031e+15
128,2300000,4.74551977819e+15
128,2400000,4.84038489705e+15
128,2500000,5.2283311202e+15
128,2700000,5.48172204637e+15
128,2800000,6.30144801304e+15
128,2900000,6.2508905539e+15
128,3000000,6.32206601829e+15
256,1400000,1.16388102101e+16
256,1500000,1.11174656608e+16
256,1800000,1.49468718462e+16
256,1900000,1.468022513e+16
256,2100000,1.65072763423e+16
256,2500000,2.01386128979e+16
256,2900000,2.56482815535e+16
